rdfs:Class,uri,skos:definition,dcterms:source,csvw:table
AgentAgentRole,http://rs.tdwg.org/dwc/dwc-dp/agent-agent-role,A role filled by an Agent with respect to another Agent.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-agent-role.json,agent-agent-role
AgentIdentifier,http://rs.tdwg.org/dwc/dwc-dp/agent-identifier,An identifier for an Agent.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-identifier.json,agent-identifier
AgentMedia,http://rs.tdwg.org/dwc/dwc-dp/agent-media,A link establishing an Agent as content in a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-media.json,agent-media
Agent,http://rs.tdwg.org/dwc/dwc-dp/agent,"A person, group, organization or other entity that can act.",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent.json,agent
ChronometricAgeAgentRole,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-agent-role,A role filled by an Agent with respect to a chrono:ChronometricAge.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-agent-role.json,chronometric-age-agent-role
ChronometricAgeAssertion,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-assertion,An Assertion made by an Agent about a chrono:ChronometricAge.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-assertion.json,chronometric-age-assertion
ChronometricAgeMedia,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-media,A link establishing a chrono:ChronometricAge as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-media.json,chronometric-age-media
ChronometricAgeProtocol,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-protocol,A link establishing a Protocol used in the determination of a chrono:ChronometricAge.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-protocol.json,chronometric-age-protocol
ChronometricAgeReference,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age-reference,A bibliographic reference in which a chrono:ChronometricAge is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-reference.json,chronometric-age-reference
ChronometricAge,http://rs.tdwg.org/dwc/dwc-dp/chronometric-age,An approximation of temporal position (in the sense conveyed by https://www.w3.org/TR/owl-time/#time:TemporalPosition) that is supported by evidence.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age.json,chronometric-age
